Game,Set,Card Number,Card Name,Energy,Might,Domain,Card Type,Tags,Ability,Rarity,Artist,Image URL
Riftbound,Origins,OGN-019/298,Raging Soul,4,4,Fury,Unit,"Spirit, Shadow Isles","If you've discarded a card this turn, I have [Assault] and [Ganking]. (+1 Might while I'm an attacker. I can move from battlefield to battlefield.)",Uncommon,Six More Vodka,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/037647d0decc94ff4a5d53b11cf36afe9d849533-744x1039.png
Riftbound,Origins,OGN-020/298,Scrapyard Champion,5,5,Fury,Unit,"Mech, Bandle City","[Legion] — When you play me, discard 2, then draw 2. (Get the effect if you've played another card this turn.)",Uncommon,Envar Studio,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/10f096d2b469fd73329386e5efe88c9bec667d7c-744x1039.png
Riftbound,Origins,OGN-021/298,Sun Disc,2,,Fury,Gear,,Exhaust: [Legion] — The next unit you play this turn enters ready. (Get the effect if you've played another card this turn.),Uncommon,Envar Studio,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/146d7514f15e6674f471f3aa9c3fadf22c0b634b-744x1039.png
Riftbound,Origins,OGN-022/298,Thermo Beam,5,,Fury,Spell,,[Action] (Play on your turn or in showdowns.)Kill all gear.,Uncommon,Max Grecke,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/88661e852b864491e6d7f5f087caf4263f61c361-744x1039.png
Riftbound,Origins,OGN-023/298,Unlicensed Armory,2,,Fury,Gear,,"Discard 1, Exhaust: Choose a friendly unit. The next time it dies this turn, you may pay Fury to recall it exhausted instead. (Send it to base. This isn't a move.)",Uncommon,Kudos Productions,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/1a80bedd893d9024fc90f108da36b4fd1d496ad6-744x1039.png
Riftbound,Origins,OGN-024/298,Void Seeker,3,,Fury,Spell,,[Action] (Play on your turn or in showdowns.)Deal 4 to a unit at a battlefield. Draw 1.,Uncommon,Kudos Productions,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/5b64b63c6be58ff3c33c7fb3c2dcb168d64e287e-744x1039.png
Riftbound,Origins,OGN-025/298,Blind Fury,4,,Fury,Spell,,"[Action] (Play on your turn or in showdowns.)Each opponent reveals the top card of their Main Deck. Choose one and play it, ignoring its cost. Then recycle the rest.",Rare,Six More Vodka,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/d74ba4998df9348408f1400090a0b0737c675fbd-744x1039.png
Riftbound,Origins,OGN-026/298,Brynhir Thundersong,6,5,Fury,Unit,Freljord,"When you play me, opponents can't play cards this turn.",Rare,Envar Studio,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/44e805aa0f2928acf1156eef692403df319b333a-744x1039.png
Riftbound,Origins,OGN-027/298,"Darius, Trifarian",5,5,Fury,Champion Unit,"Trifarian, Darius, Noxus","When you play your second card in a turn, give me +2 Might this turn and ready me.",Rare,League Splash Team,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/bf7a4900fd2296972c1305a4707c23860bb0522e-744x1039.png
Riftbound,Origins,OGN-027a/298,"Darius, Trifarian",5,5,Fury,Champion Unit,"Trifarian, Darius, Noxus","When you play your second card in a turn, give me +2 Might this turn and ready me.",Showcase,League Splash Team,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/df878ecc25160bb7e53b254a609ec243e133e8f1-744x1039.png
Riftbound,Origins,OGN-028/298,"Draven, Showboat",5,3,Fury,Champion Unit,"Draven, Noxus",My Might is increased by your points.,Rare,Six More Vodka,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/7600d6cea66e8146ea2202f72cb9035cb44608a3-744x1039.png
Riftbound,Origins,OGN-029/298,Falling Star,2,,Fury,Spell,,Do this twice:Deal 3 to a unit. (You can choose different units.),Rare,Kudos Productions,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/9cf2d2e59e1bf839cdf5c2a77e95f5d1e871788f-744x1039.png
Riftbound,Origins,OGN-030/298,"Jinx, Demolitionist",3,4,Fury,Champion Unit,"Jinx, Zaun","[Accelerate] (You may pay 1 EnergyFury as an additional cost to have me enter ready.)[Assault 2] (+2 Might while I'm an attacker.)When you play me, discard 2.",Rare,Kudos Productions,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/d6cac988aa7798945e550eba6841d3993868c4a4-744x1039.png
Riftbound,Origins,OGN-030a/298,"Jinx, Demolitionist",3,4,Fury,Champion Unit,"Jinx, Zaun","[Accelerate] (You may pay 1 EnergyFury as an additional cost to have me enter ready.)[Assault 2] (+2 Might while I'm an attacker.)When you play me, discard 2.",Showcase,League Splash Team,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/60ff1aec7ecb1b11ff89fdb620c6182897a8b402-744x1039.png
Riftbound,Origins,OGN-031/298,Raging Firebrand,6,4,Fury,Unit,"Dragon, Mount Targon","When you play me, the next spell you play this turn costs 5 Energy less.",Rare,JiHun Lee,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/9566fc064c098bd7f3540f3074dc6353c7ca5663-744x1039.png
Riftbound,Origins,OGN-032/298,Ravenborn Tome,3,,Fury,Gear,,Exhaust: The next spell you play deals 1 Bonus Damage. (Each instance of damage the spell deals is increased by 1.),Rare,Polar Engine Studio,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/81f968126026635e5b9a2fa1048fc979fcd13a1d-744x1039.png
Riftbound,Origins,OGN-033/298,Shakedown,2,,Fury,Spell,,"[Reaction] (Play any time, even before spells and abilities resolve.)Choose an enemy unit. Deal 6 to it unless its controller has you draw 2.",Rare,Kudos Productions,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/ab71d92c94bf609e2fa6efc8fec06fe1e8b10108-744x1039.png
Riftbound,Origins,OGN-034/298,"Tryndamere, Barbarian",7,8,Fury,Champion Unit,"Tryndamere, Freljord","When I conquer after an attack, if you assigned 5 or more excess damage to enemy units, you score 1 point.",Rare,Six More Vodka,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/124c93495c927be1baea03fdacf6c7b283cf8b6c-744x1039.png
Riftbound,Origins,OGN-035/298,"Vayne, Hunter",4,2,Fury,Champion Unit,"Vayne, Demacia","[Assault 3]_ (+3 Might while I'm an attacker.)_If an opponent controls a battlefield, I enter ready.When I conquer, you may pay 1 Energy to return me to my owner's hand.",Rare,Kudos Productions,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/b38a22e6f4bfaa8589f32754a7466fe5214e81b5-744x1039.png
Riftbound,Origins,OGN-036/298,"Vi, Destructive",2,3,Fury,Champion Unit,"Vi, Piltover",[Ganking] (I can move from battlefield to battlefield.)Recycle 1 from your trash: Give me +1 Might this turn.,Rare,Kudos Productions,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/7ab52254ac49b8853fc7ae65b03aaee3f8c5994a-744x1039.png
Riftbound,Origins,OGN-037/298,Immortal Phoenix,3,3,Fury,Unit,Spirit,"[Assault 2] (+2 Might while I'm an attacker.)When you kill a unit with a spell, you may pay 1 EnergyFury to play me from your trash.",Epic,Kudos Productions,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/7b623ae985bf5f362b6d8d4a17e9b8146aeae3c3-744x1039.png
Riftbound,Origins,OGN-038/298,Kadregrin the Infernal,9,9,Fury,Unit,"Dragon, Demacia","When you play me, draw 1 for each of your [Mighty] units. (A unit is Mighty while it has 5+ Might.)",Epic,Six More Vodka,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/733c32b1fccc7e2983cbb3586358152f90a6df04-744x1039.png
Riftbound,Origins,OGN-039/298,"Kai'Sa, Survivor",4,4,Fury,Champion Unit,"Kai'Sa, The Void","[Accelerate] (You may pay 1 EnergyFury as an additional cost to have me enter ready.)When I conquer, draw 1.",Epic,League Splash Team,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/3d942c02ad4e96a36dba14d663c5105bb6614500-744x1039.png
Riftbound,Origins,OGN-039a/298,"Kai'Sa, Survivor",4,4,Fury,Champion Unit,"Kai'Sa, The Void","[Accelerate] (You may pay 1 EnergyFury as an additional cost to have me enter ready.)When I conquer, draw 1.",Showcase,Envar Studio,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/ad69bde670ce218adee1d2a618a7295d2fb7bd4c-744x1039.png
Riftbound,Origins,OGN-040/298,Seal of Rage,0,,Fury,Gear,,Exhaust: [Reaction] — [Add] Fury. (Abilities that add resources can't be reacted to.),Epic,Kudos Productions,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/fbdd14adb40b0ca46b89f476a356fa21413d812e-744x1039.png
Riftbound,Origins,OGN-041/298,"Volibear, Furious",10,9,Fury,Champion Unit,"Volibear, Freljord","[Deflect 2] (Opponents must pay Rune RainbowRune Rainbow to choose me with a spell or ability.)When I attack, deal 5 damage split among any number of enemy units here.",Epic,Envar Studio,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/c9165d49b8caae9a856433cd5151e8b368eb80b5-744x1039.png
Riftbound,Origins,OGN-041a/298,"Volibear, Furious",10,9,Fury,Champion Unit,"Volibear, Freljord","[Deflect 2] (Opponents must pay Rune RainbowRune Rainbow to choose me with a spell or ability.)When I attack, deal 5 damage split among any number of enemy units here.",Showcase,League Splash Team,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/744d1b950ae7ef1e6e5b244538a6afb9802e5e3d-744x1039.png
Riftbound,Origins,OGN-042/298,Calm Rune,,,Calm,Basic Rune,,,Common,Greg Ghielmetti & Leah Chen,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/0a0e8c3d16c2595e2f8efcc2b1466226539b506c-744x1039.png
Riftbound,Origins,OGN-042a/298,Calm Rune,,,Calm,Basic Rune,,,Showcase,Zhongqi Li,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/88187b586b9b3cc2f48fd20c806dd5fc5e1bfc71-1488x2078.png
Riftbound,Origins,OGN-043/298,Charm,1,,Calm,Spell,,Move an enemy unit.,Common,Kudos Productions,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/62ae564505db8fcba70605eac2083ac2d4397b5a-744x1039.png
Riftbound,Origins,OGN-044/298,Clockwork Keeper,2,2,Calm,Unit,Shurima,"As you play me, you may pay Calm as an additional cost. If you do, draw 1.",Common,Polar Engine Studio,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/417e606418349bb25d4b07d460fa043ad85f2778-744x1039.png
Riftbound,Origins,OGN-045/298,Defy,1,,Calm,Spell,,"[Reaction] (Play any time, even before spells and abilities resolve.)Counter a spell that costs no more than 4 Energy and no more than Rune Rainbow.",Common,Kudos Productions,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/4989bfcc4bd7be77051f0c2c349a981ba9c273e0-744x1039.png
Riftbound,Origins,OGN-046/298,En Garde,1,,Calm,Spell,,"[Reaction] (Play any time, even before spells and abilities resolve.)Give a friendly unit +1 Might this turn, then an additional +1 Might this turn if it is the only unit you control there.",Common,Kudos Productions,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/03c0ec7eaa5957a62869dad2a0ce40913fc874a9-744x1039.png
Riftbound,Origins,OGN-047/298,Find Your Center,3,,Calm,Spell,,"[Action] (Play on your turn or in showdowns.)If an opponent's score is within 3 points of the Victory Score, this costs 2 Energy less.Draw 1 and channel 1 rune exhausted.",Common,Kudos Productions,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/cd9d798b496fdce133c5b0106d636a230b6e7ebe-744x1039.png
Riftbound,Origins,OGN-048/298,Meditation,2,,Calm,Spell,,"[Reaction] (Play any time, even before spells and abilities resolve.)As an additional cost to play this, you may exhaust a friendly unit. If you do, draw 2. Otherwise, draw 1.",Common,Kudos Productions,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/7103336ab0d7f7bebdaa4155e4258d8d9beb06de-744x1039.png
Riftbound,Origins,OGN-049/298,Playful Phantom,5,5,Calm,Unit,"Spirit, Shadow Isles",,Common,Six More Vodka,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/3171ef8c7968b0dfe088725b9721b19d175bdb1e-744x1039.png
Riftbound,Origins,OGN-050/298,Rune Prison,2,,Calm,Spell,,[Action] (Play on your turn or in showdowns.)Stun a unit._ (It doesn't deal combat damage this turn.)_,Common,Kudos Productions,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/21867baeaced3c22cda5f40f6b6c9a8dad4b7042-744x1039.png
Riftbound,Origins,OGN-051/298,Solari Shieldbearer,3,2,Calm,Unit,Mount Targon,"When you play me, stun a unit. (It doesn't deal combat damage this turn.)",Common,Kudos Productions,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/9387ea6480c9fd6991760b07a178c07a5fcf1c57-744x1039.png
Riftbound,Origins,OGN-052/298,Stalwart Poro,2,2,Calm,Unit,Poro,[Shield] (+1 Might while I'm a defender.),Common,Six More Vodka,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/c4a5d7178e783c3975749271b6df333a82a2328a-744x1039.png
Riftbound,Origins,OGN-053/298,Stand United,3,,Calm,Spell,,"[Hidden] (Hide now for Rune Rainbow to react with later for 0 Energy.)[Action] (Play on your turn or in showdowns.)Buff a friendly unit. Buffs give an additional +1 Might to friendly units this turn. (To buff a unit, give it a +1 Might buff if it doesn't already have one.)",Common,Six More Vodka,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/4d10570e70a998de520d4baba254c3b726caa4f0-744x1039.png
Riftbound,Origins,OGN-054/298,Sunlit Guardian,3,3,Calm,Unit,Shurima,[Shield] (+1 Might while I'm a defender.)[Tank] (I must be assigned combat damage first.),Common,Kudos Productions,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/28bce7a662b9008f65565300f828d98790a641e1-744x1039.png
Riftbound,Origins,OGN-055/298,Wielder of Water,3,2,Calm,Unit,Ionia,"While I'm attacking or defending alone, I have +2 Might.",Common,Six More Vodka,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/5b38a7758705bd739caf07b5c0c49482a4a23015-744x1039.png
Riftbound,Origins,OGN-056/298,Adaptatron,4,3,Calm,Unit,"Mech, Piltover","When I conquer, you may kill a gear. If you do, buff me. (If I don't have a buff, I get a +1 Might buff.)",Uncommon,Kudos Productions,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/a3ddb00a2a872eaceb96469739531414aa27455d-744x1039.png
Riftbound,Origins,OGN-057/298,Block,2,,Calm,Spell,,[Hidden] (Hide now for Rune Rainbow to react with later for 0 Energy.)[Action] (Play on your turn or in showdowns.)Give a unit [Shield 3] and [Tank] this turn. (+3 Might while it's a defender. It must be assigned combat damage first.),Uncommon,Kudos Productions,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/36f7352e715fe073631ed85be41408c9a38ab865-744x1039.png
Riftbound,Origins,OGN-058/298,Discipline,2,,Calm,Spell,,"[Reaction] (Play any time, even before spells and abilities resolve.)Give a unit +2 Might this turn. Draw 1.",Uncommon,Kudos Productions,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/8b9613970b505e3ad6abe2d51d091778314a7d48-744x1039.png
Riftbound,Origins,OGN-059/298,Eclipse Herald,7,7,Calm,Unit,"Bird, Mount Targon","When you stun an enemy unit, ready me and give me +1 Might this turn.",Uncommon,Kudos Productions,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/bbe4fec278b8960681f97da658dc2f06ee46c4bd-744x1039.png
Riftbound,Origins,OGN-060/298,Mask of Foresight,2,,Calm,Gear,,"When a friendly unit attacks or defends alone, give it +1 Might this turn.",Uncommon,Kudos Productions,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/03824709acbb4151d13b083a842c4702a3e61221-744x1039.png
Riftbound,Origins,OGN-061/298,Poro Herder,3,3,Calm,Unit,Freljord,"When you play me, if you control a Poro, buff me and draw 1. (If I don't have a buff, I get a +1 Might buff.)",Uncommon,Six More Vodka,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/166b718a8517fcceac7e7d4f6acbc4fa0bbc2c55-744x1039.png
Riftbound,Origins,OGN-062/298,Reinforce,5,,Calm,Spell,,Look at the top 5 cards of your Main Deck. You may play a unit from among them. Its Energy cost is reduced by 5 Energy. Then recycle the remaining cards.,Uncommon,Kudos Productions,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/5bb4ce960c7636dac103c560a2e2f4e32f9d5390-744x1039.png
Riftbound,Origins,OGN-063/298,Spirit's Refuge,2,,Calm,Gear,,"When you play this, buff a friendly unit. (If it doesn't have a buff, it gets a +1 Might buff.)Friendly buffed units have [Deflect] if they didn't already. (Opponents must pay Rune Rainbow to choose those units with a spell or ability.)",Uncommon,Kudos Productions,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/26d5e54580d1f17ed6c35a66ac6a90ce56c99ec8-744x1039.png
Riftbound,Origins,OGN-064/298,Wind Wall,3,,Calm,Spell,,"[Reaction] (Play any time, even before spells and abilities resolve.)Counter a spell.",Uncommon,Max Grecke,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/72c4dbe48d06916c847dab40340e5f05228fadfe-744x1039.png
Riftbound,Origins,OGN-065/298,Wizened Elder,4,4,Calm,Unit,Ionia,"While I'm buffed, I have an additional +1 Might.",Uncommon,Six More Vodka,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/7b98797789ad7e3a6cf52126b82a42ec6f269bb7-744x1039.png
Riftbound,Origins,OGN-066/298,"Ahri, Alluring",5,4,Calm,Champion Unit,"Ahri, Ionia","When I hold, you score 1 point.",Rare,League Splash Team,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/fabbcc2f83f397cf07299236a702db05a151053b-744x1039.png
Riftbound,Origins,OGN-066a/298,"Ahri, Alluring",5,4,Calm,Champion Unit,"Ahri, Ionia","When I hold, you score 1 point.",Showcase,Wild Rift,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/933f5d58cc0e27d017982306b9ae0f581c9c8d27-744x1039.png
Riftbound,Origins,OGN-067/298,"Blitzcrank, Impassive",5,5,Calm,Champion Unit,"Mech, Blitzcrank, Zaun","[Tank] (I must be assigned combat damage first.)When you play me to a battlefield, you may move an enemy unit to here.When I hold, return me to my owner's hand.",Rare,League Splash Team,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/654dcc4aef0a0b5a0c6e928d7aae397a52c3ab17-744x1039.png
Riftbound,Origins,OGN-068/298,"Caitlyn, Patrolling",3,3,Calm,Champion Unit,"Caitlyn, Piltover",I must be assigned combat damage last.Exhaust: Deal damage equal to my Might to a unit at a battlefield. Use this ability only while I'm at a battlefield.,Rare,Six More Vodka,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/51e6bacf25d19e7c391367ff107efb9e0b9f1ff5-744x1039.png
Riftbound,Origins,OGN-069/298,Last Stand,3,,Calm,Spell,,"[Action] (Play on your turn or in showdowns.)Double a friendly unit's Might this turn. Give it [Temporary]. (Kill it at the start of its controller's Beginning Phase, before scoring.)",Rare,Kudos Productions,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/9062d372d299c5c6a0c679f0ff07ba71590ca5f1-744x1039.png
Riftbound,Origins,OGN-070/298,Mageseeker Warden,6,5,Calm,Unit,Demacia,"While I'm at a battlefield, opponents can only play units to their base.While I'm at a battlefield, spells and abilities can't ready enemy units and gear.",Rare,Six More Vodka,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/ae844b929f817cdf76fe40c7bf5d5fc02062bdac-744x1039.png
Riftbound,Origins,OGN-071/298,Party Favors,3,,Calm,Spell,,"Each other player chooses Cards or Runes. For each player that chooses Cards, you and that player each draw 1. For each player that chooses Runes, you and that player each channel 1 rune exhausted.",Rare,Kudos Productions,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/fddcef3c55663c5d6856f6d039d19cacfd64abb5-744x1039.png
Riftbound,Origins,OGN-072/298,Solari Shrine,3,,Calm,Gear,,"When you kill a stunned enemy unit, you may exhaust this to draw 1.",Rare,Kudos Productions,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/139a6d1c62a717bab4cdd75926e7f4aba6efb15d-744x1039.png
Riftbound,Origins,OGN-073/298,"Sona, Harmonious",4,4,Calm,Champion Unit,"Sona, Demacia","While I'm at a battlefield, ready 4 friendly runes at the end of your turn.",Rare,League Splash Team,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/8582f6430821fb912fcb3619c5ce9405f254cb2f-744x1039.png
Riftbound,Origins,OGN-074/298,"Taric, Protector",4,4,Calm,Champion Unit,"Taric, Mount Targon",[Shield] (+1 Might while I'm a defender.)[Tank] (I must be assigned combat damage first.)Other friendly units here have [Shield].,Rare,Six More Vodka,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/7d08e3f64401cb87b8a0564a1cbe6fc94aee03a7-744x1039.png
Riftbound,Origins,OGN-075/298,Tasty Faefolk,7,6,Calm,Unit,"Fae, Bandle City","[Accelerate] (You may pay 1 EnergyCalm as an additional cost to have me enter ready.)[Deathknell] — Channel 2 runes exhausted and draw 1. (When I die, get the effect.)",Rare,Dao Trong Le,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/65f69ca9a1087deb12e91fb6fdee7b6efd0c088f-744x1039.png
